x,y,yaw
-8.311374950825028307e+00,8.519233053099581454e+00,-4.582580915137872246e+00
-8.324894438058262125e+00,8.621982678034443737e+00,-4.593962072701235577e+00
-8.338413925291495943e+00,8.724732302969300690e+00,-4.605343230264598020e+00
-8.349403428019881446e+00,8.824378165672341012e+00,-4.618964943645650578e+00
-8.354658299203943983e+00,8.916988833983264584e+00,-4.637665250213468759e+00
-8.359913170388006520e+00,9.009599502294184603e+00,-4.656365556781286053e+00
-8.365168041572070834e+00,9.102210170605102846e+00,-4.675065863349102457e+00
-8.370422912756133371e+00,9.194820838916028194e+00,-4.693766169916920639e+00
-8.372930469653233843e+00,9.284439013065526325e+00,-4.715378440854605557e+00
-8.367830079294133583e+00,9.365770280306477957e+00,-4.745054613124230158e+00
-8.362729688935033323e+00,9.447101547547434919e+00,-4.774730785393855648e+00
-8.357629298575933063e+00,9.528432814788386551e+00,-4.804406957663480249e+00
-8.352528908216834580e+00,9.609764082029338184e+00,-4.834083129933104850e+00
-8.344634538726943163e+00,9.688307220685071997e+00,-4.867312849151016252e+00
-8.327088241330688589e+00,9.757218642410032672e+00,-4.912818457826637619e+00
-8.309541943934432240e+00,9.826130064134993347e+00,-4.958324066502258987e+00
-8.291995646538175890e+00,9.895041485859959352e+00,-5.003829675177882130e+00
-8.274449349141921317e+00,9.963952907584920027e+00,-5.049335283853503498e+00
-8.254233072709331154e+00,1.003037366380665141e+01,-5.098116525784256226e+00
-8.222150222781927198e+00,1.008572479556959323e+01,-5.161456137737813421e+00
-8.190067372854525019e+00,1.014107592733253327e+01,-5.224795749691367952e+00
-8.157984522927122839e+00,1.019642705909547331e+01,-5.288135361644922483e+00
-8.125901672999718883e+00,1.025177819085841513e+01,-5.351474973598480567e+00
-8.091458806072866494e+00,1.030504232679910359e+01,-5.415635485191417686e+00
-8.042855837149318177e+00,1.034578448780628968e+01,-5.484721394620644119e+00
-7.994252868225769859e+00,1.038652664881347576e+01,-5.553807304049871441e+00
-7.945649899302219765e+00,1.042726880982066540e+01,-5.622893213479102315e+00
-7.897046930378671448e+00,1.046801097082785148e+01,-5.691979122908329636e+00
-7.846752843264642507e+00,1.050732424675353194e+01,-5.759203671578847938e+00
-7.781576916074380179e+00,1.053406333396197425e+01,-5.810048245572738246e+00
-7.716400988884121404e+00,1.056080242117041479e+01,-5.860892819566625001e+00
-7.651225061693862628e+00,1.058754150837885710e+01,-5.911737393560511755e+00
-7.586049134503600300e+00,1.061428059558729942e+01,-5.962581967554401174e+00
-7.519957824200613317e+00,1.064028730662432132e+01,-6.012308569895239430e+00
-7.439830639502470255e+00,1.065506424969960264e+01,-6.044892940222672983e+00
